State,Vehicle_type,Value,Year
RI,Single Unit Long-haul Trucks,42.689221969,2017
VA,Single Unit Long-haul Trucks,1227.82642397,2017
VT,Single Unit Long-haul Trucks,70.536360826,2017
WV,Single Unit Long-haul Trucks,1160.377364779,2017
CT,Single Unit Short-haul Trucks,535.11820509,2017
DC,Single Unit Short-haul Trucks,245.950718668,2017
DE,Single Unit Short-haul Trucks,771.3281291760001,2017
MA,Single Unit Short-haul Trucks,5317.63589262,2017
MD,Single Unit Short-haul Trucks,3450.01191686,2017
ME,Single Unit Short-haul Trucks,1560.4997477699999,2017
NC,Single Unit Short-haul Trucks,2970.43672679,2017
NH,Single Unit Short-haul Trucks,1712.39910197,2017
NJ,Single Unit Short-haul Trucks,4056.0278875,2017
NY,Single Unit Short-haul Trucks,10190.9987913,2017
PA,Single Unit Short-haul Trucks,11261.667124900001,2017
RI,Single Unit Short-haul Trucks,521.72545146,2017
VA,Single Unit Short-haul Trucks,2270.17020956,2017
VT,Single Unit Short-haul Trucks,117.49020466500001,2017
WV,Single Unit Short-haul Trucks,576.229148297,2017
CT,Transit Buses,17.671648507,2017
DC,Transit Buses,123.351107391,2017
DE,Transit Buses,99.93730305,2017
MA,Transit Buses,1040.1436455799999,2017
MD,Transit Buses,253.40948271,2017
ME,Transit Buses,157.01273682,2017
NC,Transit Buses,1040.94834845,2017
NH,Transit Buses,406.0841416,2017
NJ,Transit Buses,1380.9146638,2017
NY,Transit Buses,1432.38381713,2017
PA,Transit Buses,1620.2688802,2017
RI,Transit Buses,28.430827191,2017
VA,Transit Buses,2272.0077768,2017
VT,Transit Buses,129.74249433,2017
WV,Transit Buses,161.77393965000002,2017
CT,Combination Long-haul Trucks,5479.888,2014
CT,Combination Short-haul Trucks,1386.6299,2014
CT,Light Commercial Trucks,235.20229,2014
CT,Passenger Trucks,585.7737,2014
CT,Single Unit Long-haul Trucks,52.60431,2014
CT,Intercity Buses,151.2691,2014
CT,Passenger Cars,120.37511,2014
CT,School Buses,55.18836,2014
CT,Transit Buses,38.342464,2014
CT,Motor Homes,8.712644,2014
CT,Refuse Trucks,75.44936,2014
CT,Single Unit Short-haul Trucks,674.2739,2014
DC,Combination Long-haul Trucks,184.26,2014
DC,Combination Short-haul Trucks,140.063,2014
DC,Light Commercial Trucks,54.6095,2014
DC,Passenger Trucks,18.1954,2014
DC,Single Unit Long-haul Trucks,32.3972,2014
DC,Intercity Buses,174.19,2014
DC,Passenger Cars,16.8719,2014
DC,School Buses,8.10048,2014
DC,Transit Buses,220.755,2014
DC,Motor Homes,3.62593,2014
DC,Refuse Trucks,42.1998,2014
DC,Single Unit Short-haul Trucks,440.596,2014
DE,Combination Long-haul Trucks,1751.046,2014
DE,Combination Short-haul Trucks,826.082,2014
DE,Light Commercial Trucks,58.3748,2014
DE,Passenger Trucks,217.0236,2014
DE,Single Unit Long-haul Trucks,26.8818,2014
DE,Intercity Buses,312.2809,2014
DE,Passenger Cars,28.5493,2014
DE,School Buses,76.81005,2014
DE,Transit Buses,287.6683,2014
DE,Motor Homes,4.981445,2014
DE,Refuse Trucks,14.19725,2014
DE,Single Unit Short-haul Trucks,304.5428,2014
MA,Combination Long-haul Trucks,8012.68675,2014
MA,Combination Short-haul Trucks,3992.05098,2014
MA,Light Commercial Trucks,292.315163,2014
MA,Passenger Trucks,720.74332,2014
MA,Single Unit Long-haul Trucks,77.5650138,2014
MA,Intercity Buses,166.5719725,2014
MA,Passenger Cars,111.438495,2014
MA,School Buses,55.43818,2014
MA,Transit Buses,206.1147726,2014
MA,Motor Homes,22.3934018,2014
MA,Refuse Trucks,95.2700233,2014
MA,Single Unit Short-haul Trucks,1250.822637,2014
MD,Combination Long-haul Trucks,20346.2835,2014
MD,Combination Short-haul Trucks,3784.8816,2014
MD,Light Commercial Trucks,415.77089,2014
